DATE,ATA,BT ARR,B/BULK,MAWB,BT NUMBER,FLT NO,ORIGIN,DEST,AWB PCS,RCVD PCS,GW,CW,CHECKER,TEAM,COMODITY,REMARKS (LATE TOW REASON),REMARKS,DO E-POUCH UPLOADED,GROUP,ATA(F),BB(F),LEADTIME,STATUS,SECTION,BT ARR(F),RAMP LT,RAMP STATS
11-Jun-25,1748,1851,1924,180-76319264,PMC 666,XT3395,PLM,TWU,390,390,18442.5,18442.5,GTR8416,Delta,AUTO,,,,,,,,,,,,
11-Jun-25,1748,1840,1934,229-38470244,BT 942 / GTR DT 631,XT3395,BWN,BKI,175,175,4290.5,4290.5,GTR8418,Beta,MED,,,,,,,,,,,,
11-Jun-25,1748,1853,1926,843-61030579,KUL 869 / I TG 211 / PMC 622,XT3395,JOG,PEN,257,257,11636.0,11636.0,GTR8419,Beta,FURN,,,,,,,,,,,,
11-Jun-25,2031,2133,2149,126-86560394,GTR DT 719 / GTR DT 85 / PMC 551 / PMC 157,FD7617,KNO,BTH,394,394,7473.0,7473.0,GTR8417,Alpha,CLTH,,,,,,,,,,,,
11-Jun-25,2120,2204,2311,229-69686067,GTR DT 71,PX1016,KCH,SGN,51,51,2634.1,2634.1,GTR8418,Gamma,FURN,,,,,,,,,,,,
11-Jun-25,2130,2242,2238,229-95618110,I TG 268 / I TG 949,Z22805,BKI,BTH,131,131,8476.6,8476.6,GTR8418,Gamma,MACH,,,,,,,,,,,,
11-Jun-25,2130,2220,2258,807-55377076,BT 77 / BT 140 / PMC 112,Z22805,CGK,AMD,284,284,3620.9,3620.9,GTR8416,Alpha,COU,,,,,,,,,,,,
12-Jun-25,0146,0244,0315,126-99788677,BT 900 / PMC 656 / PMC 187,FD8885,MLG,MAA,277,277,5775.0,5775.0,GTR8416,Delta,BOOK,,,,,,,,,,,,
12-Jun-25,0146,0248,0344,229-64634663,KUL 531,FD8885,CCU,HKG,50,50,1787.2,1787.2,GTR8416,Gamma,CHEM,,,,,,,,,,,,
12-Jun-25,0146,0226,0256,229-86762164,BT 355 / PMC 917 / I TG 867,FD8885,BWN,TWU,152,152,7118.5,7118.5,GTR8415,Gamma,FOOD,,,,,,,,,,,,
12-Jun-25,0146,0228,0326,807-29655410,BT 641 / I TG 630 / PMC 96,FD8885,BKI,CCU,89,89,4687.4,4687.4,GTR8419,Beta,COU,,,,,,,,,,,,
12-Jun-25,0146,0253,0346,807-69476001,BT 675 / PMC 738,FD8885,SBW,HKG,26,26,1170.6,1170.6,GTR8419,Gamma,GC,,,,,,,,,,,,
12-Jun-25,0213,0331,0338,229-25312516,KUL 411 / KUL 584 / PMC 200,Z25255,DMK,RGN,252,252,3032.9,3032.9,GTR8417,Echo,AVF,,,,,,,,,,,,
12-Jun-25,0213,0301,0317,807-68526649,PMC 462 / PMC 287 / PMC 697 / PMC 122,Z25255,KUL,JOG,474,474,29952.1,29952.1,GTR8416,Alpha,MAL,,,,,,,,,,,,
12-Jun-25,1440,1609,1627,180-17698469,PMC 179 / PMC 164,PX6077,DMK,DRW,327,327,9664.9,9664.9,GTR8417,Echo,PIL,,,,,,,,,,,,
12-Jun-25,1440,1537,1609,229-20399639,GTR DT 645 / BT 191,PX6077,CAN,KCH,140,140,5179.9,5179.9,GTR8418,Delta,COU,,,,,,,,,,,,
12-Jun-25,1440,1511,1627,695-82475098,GTR DT 607 / GTR DT 399,PX6077,MLG,KNO,42,42,2458.3,2458.3,GTR8415,Beta,AUTO,,,,,,,,,,,,
12-Jun-25,1440,1523,1557,807-17318358,PMC 105,PX6077,SBW,CAN,358,358,24764.6,24764.6,GTR8419,Beta,BOOK,,,,,,,,,,,,
12-Jun-25,1440,1533,1600,807-66975380,GTR DT 117 / I TG 687,PX6077,SIN,KNO,309,309,11854.5,11854.5,GTR8418,Echo,ELEC,,,,,,,,,,,,
12-Jun-25,1440,1550,1600,807-85957706,PMC 402 / PMC 117 / I TG 361 / GTR DT 633,PX6077,DRW,BKK,467,467,18774.3,18774.3,GTR8416,Gamma,ELEC,,,,,,,,,,,,
12-Jun-25,1440,1608,1619,843-88561612,BT 321,PX6077,MDL,SYD,417,417,7204.4,7204.4,GTR8415,Beta,FURN,,,,,,,,,,,,
12-Jun-25,1501,1550,1608,126-16416148,I TG 711 / BT 524,AK6047,SYD,CEB,140,140,1561.4,1561.4,GTR8418,Delta,FOOD,,,,,,,,,,,,
12-Jun-25,1501,1609,1609,126-98122539,GTR DT 191 / GTR DT 651 / PMC 711 / BT 569,AK6047,AMD,NRT,171,171,2216.4,2216.4,GTR8416,Delta,FURN,,,,,,,,,,,,
12-Jun-25,1501,1549,1609,180-50071487,I TG 863 / GTR DT 635,AK6047,TWU,AMD,338,338,6605.4,6605.4,GTR8415,Gamma,BOOK,,,,,,,,,,,,
12-Jun-25,1501,1631,1601,180-63747791,BT 200 / GTR DT 987 / PMC 518 / GTR DT 419,AK6047,SBW,DPS,233,233,1834.8,1834.8,GTR8418,Delta,ELI,,,,,,,,,,,,
12-Jun-25,1501,1616,1654,180-83363160,GTR DT 172 / KUL 579 / KUL 815 / BT 300,AK6047,BOM,DMK,227,227,21381.3,21381.3,GTR8415,Gamma,ELEC,,,,,,,,,,,,
12-Jun-25,1501,1545,1635,229-75056916,BT 800 / GTR DT 580 / GTR DT 563,AK6047,TPE,CGK,499,499,28274.5,28274.5,GTR8419,Alpha,PIL,,,,,,,,,,,,
12-Jun-25,1501,1607,1608,807-96525668,PMC 844 / I TG 556 / KUL 779,AK6047,SIN,PER,305,305,10131.1,10131.1,GTR8418,Echo,AVF,,,,,,,,,,,,
12-Jun-25,1655,1813,1848,126-38210242,GTR DT 146 / PMC 648 / I TG 643 / GTR DT 385,Z27032,MDL,AMD,311,311,12834.1,12834.1,GTR8418,Alpha,MACH,,,,,,,,,,,,
12-Jun-25,1655,1805,1845,180-98870276,GTR DT 528,Z27032,HAN,ICN,305,305,7057.0,7057.0,GTR8417,Gamma,FOOD,,,,,,,,,,,,
12-Jun-25,1655,1754,1855,229-96347724,I TG 596 / KUL 890 / KUL 749 / GTR DT 651,Z27032,CGK,DMK,246,246,12088.7,12088.7,GTR8417,Alpha,ELI,,,,,,,,,,,,
12-Jun-25,1655,1815,1829,695-11835355,BT 992 / GTR DT 845 / BT 507 / I TG 331,Z27032,SBW,RGN,48,48,1278.2,1278.2,GTR8417,Gamma,ELI,,,,,,,,,,,,
12-Jun-25,1655,1800,1831,843-28419343,PMC 873 / GTR DT 808,Z27032,BKI,PVG,168,168,2177.0,2177.0,GTR8417,Alpha,CHEM,,,,,,,,,,,,
12-Jun-25,1655,1727,1801,843-39920292,KUL 128 / BT 452 / GTR DT 1 / GTR DT 208,Z27032,CGK,DRW,99,99,2083.8,2083.8,GTR8416,Gamma,COU,,,,,,,,,,,,
12-Jun-25,1755,1912,1920,126-37415205,KUL 803 / BT 507 / GTR DT 116,AK1976,ADL,MNL,123,123,1451.9,1451.9,GTR8416,Delta,ELEC,,,,,,,,,,,,
12-Jun-25,1755,1905,1933,229-51946203,PMC 911,AK1976,ADL,BKI,192,192,14076.7,14076.7,GTR8415,Gamma,BOOK,,,,,,,,,,,,
12-Jun-25,1755,1924,1915,807-20746667,GTR DT 882 / PMC 431,AK1976,MNL,DRW,152,152,4010.2,4010.2,GTR8417,Echo,CHEM,,,,,,,,,,,,
12-Jun-25,1755,1908,1906,807-81922443,KUL 18 / PMC 70 / KUL 269 / BT 41,AK1976,DEL,MAA,111,111,3882.5,3882.5,GTR8415,Delta,CLTH,,,,,,,,,,,,
13-Jun-25,0728,0813,0856,843-59667685,I TG 310 / PMC 741 / PMC 12,Z24657,PVG,CEB,398,398,26284.1,26284.1,GTR8417,Gamma,AVF,,,,,,,,,,,,
13-Jun-25,0859,0946,1023,126-84077101,KUL 193,XT9225,JOG,SGN,234,234,19835.7,19835.7,GTR8419,Echo,TEX,,,,,,,,,,,,
13-Jun-25,0859,0942,1029,180-52101056,I TG 311 / KUL 217,XT9225,MDL,MEL,262,262,4943.9,4943.9,GTR8416,Alpha,MAL,,,,,,,,,,,,
13-Jun-25,0859,1016,1047,843-97260863,BT 713 / PMC 721 / BT 407 / BT 566,XT9225,DMK,ADL,21,21,1573.7,1573.7,GTR8417,Gamma,MAL,,,,,,,,,,,,
13-Jun-25,0859,0953,1028,843-98195059,I TG 268 / I TG 526 / GTR DT 478,XT9225,PER,HKG,396,396,20191.7,20191.7,GTR8415,Delta,XPS,,,,,,,,,,,,
13-Jun-25,1238,1346,1418,126-31172421,KUL 788,FD8769,KNO,SBW,361,361,13276.0,13276.0,GTR8416,Gamma,CLTH,,,,,,,,,,,,
13-Jun-25,1238,1318,1419,229-19391725,PMC 661,FD8769,ADL,CEB,320,320,10845.5,10845.5,GTR8418,Gamma,ELEC,,,,,,,,,,,,
13-Jun-25,1238,1358,1405,229-86134287,KUL 101,FD8769,DPS,MEL,79,79,5402.5,5402.5,GTR8417,Beta,FURN,,,,,,,,,,,,
13-Jun-25,1238,1340,1425,807-80606503,GTR DT 384 / GTR DT 475,FD8769,JOG,SOC,403,403,26542.5,26542.5,GTR8419,Echo,FOOD,,,,,,,,,,,,
13-Jun-25,1628,1749,1731,126-99774697,PMC 288 / PMC 552 / BT 332,AK4161,DRW,HAN,371,371,5537.5,5537.5,GTR8417,Gamma,XPS,,,,,,,,,,,,
13-Jun-25,1628,1734,1745,180-97512508,BT 986,AK4161,NRT,SOC,494,494,4127.5,4127.5,GTR8418,Alpha,AUTO,,,,,,,,,,,,
13-Jun-25,1628,1715,1823,229-59796322,BT 256 / BT 729,AK4161,ADL,JOG,215,215,10743.8,10743.8,GTR8417,Beta,CHEM,,,,,,,,,,,,
14-Jun-25,0205,0238,0323,180-36619372,PMC 429 / BT 986 / BT 834 / I TG 957,XT8062,DMK,AMD,354,354,12965.0,12965.0,GTR8419,Gamma,ELEC,,,,,,,,,,,,
14-Jun-25,0205,0247,0353,695-60192261,GTR DT 528 / GTR DT 511,XT8062,KCH,HAN,42,42,498.1,498.1,GTR8417,Delta,ELI,,,,,,,,,,,,
14-Jun-25,0205,0236,0310,807-86460539,PMC 469 / BT 221 / PMC 362 / KUL 52,XT8062,KCH,AMD,305,305,1289.8,1289.8,GTR8417,Delta,CLTH,,,,,,,,,,,,
14-Jun-25,0205,0313,0401,843-29806690,I TG 550 / KUL 868 / KUL 442 / BT 904,XT8062,SYD,KUL,458,458,29406.2,29406.2,GTR8417,Gamma,ELI,,,,,,,,,,,,
14-Jun-25,0532,0645,0721,126-38933176,PMC 496 / BT 981 / BT 286,AK4989,SOC,TPE,177,177,3985.5,3985.5,GTR8419,Gamma,BOOK,,,,,,,,,,,,
14-Jun-25,0532,0616,0732,126-53091709,I TG 722 / BT 707 / GTR DT 325,AK4989,ADL,HKG,440,440,6016.8,6016.8,GTR8418,Gamma,BOOK,,,,,,,,,,,,
14-Jun-25,0532,0637,0731,180-60888017,I TG 125 / PMC 693 / PMC 389,AK4989,DRW,DEL,316,316,10728.1,10728.1,GTR8418,Gamma,GC,,,,,,,,,,,,
14-Jun-25,0532,0651,0723,229-73380266,I TG 44 / I TG 979,AK4989,KCH,BTH,283,283,2559.7,2559.7,GTR8415,Gamma,CLTH,,,,,,,,,,,,
14-Jun-25,0532,0701,0700,843-36802975,GTR DT 220 / BT 848 / PMC 278,AK4989,AMD,ICN,447,447,10618.0,10618.0,GTR8419,Gamma,FURN,,,,,,,,,,,,
14-Jun-25,0645,0723,0751,126-43183955,BT 52 / PMC 232,AK850,PER,MFM,393,393,19284.6,19284.6,GTR8416,Alpha,TEX,,,,,,,,,,,,
14-Jun-25,0645,0721,0811,229-40667888,GTR DT 103 / BT 6 / PMC 952,XT9028,RGN,CEB,424,424,12108.4,12108.4,GTR8416,Delta,ELI,,,,,,,,,,,,
14-Jun-25,0645,0756,0844,695-39735904,GTR DT 667 / BT 775 / I TG 329 / I TG 662,AK850,MEL,DPS,373,373,27027.7,27027.7,GTR8415,Alpha,CLTH,,,,,,,,,,,,
14-Jun-25,0645,0756,0821,695-80162053,PMC 757 / KUL 936,AK850,MEL,BOM,187,187,3764.4,3764.4,GTR8416,Delta,CHEM,,,,,,,,,,,,
14-Jun-25,0645,0811,0838,695-97488142,KUL 857 / GTR DT 807,AK850,CCU,CEB,310,310,5944.7,5944.7,GTR8418,Beta,AVF,,,,,,,,,,,,
14-Jun-25,0645,0814,0832,807-56095437,KUL 10 / I TG 582 / PMC 110,AK850,SIN,YIA,331,331,3682.8,3682.8,GTR8417,Gamma,MACH,,,,,,,,,,,,
14-Jun-25,0645,0744,0826,807-87030477,BT 872 / PMC 480 / I TG 198 / KUL 339,AK850,ICN,JOG,188,188,6350.5,6350.5,GTR8416,Delta,TEX,,,,,,,,,,,,
14-Jun-25,0645,0756,0801,843-72372114,KUL 755 / I TG 810,AK850,SDK,PER,343,343,4108.0,4108.0,GTR8417,Echo,AUTO,,,,,,,,,,,,
14-Jun-25,0847,0937,1023,126-19736572,BT 310 / BT 677 / PMC 227,Z27119,KUL,BTH,319,319,31762.4,31762.4,GTR8418,Gamma,COU,,,,,,,,,,,,
14-Jun-25,0847,0934,0950,180-17270733,GTR DT 570 / GTR DT 49,Z27119,DRW,SYD,331,331,3445.3,3445.3,GTR8417,Delta,AUTO,,,,,,,,,,,,
14-Jun-25,0847,1007,1020,180-44392446,GTR DT 419 / BT 308 / GTR DT 189,Z27119,VTE,BOM,311,311,16305.5,16305.5,GTR8419,Delta,ELI,,,,,,,,,,,,
14-Jun-25,0847,0932,1041,229-89520597,I TG 879 / BT 826,Z27119,MFM,CEB,437,437,13337.6,13337.6,GTR8418,Alpha,MED,,,,,,,,,,,,
14-Jun-25,0847,0952,1013,807-96934122,PMC 543 / BT 398 / BT 262 / BT 339,Z27119,NRT,SOC,478,478,22492.1,22492.1,GTR8415,Delta,MED,,,,,,,,,,,,
14-Jun-25,0847,1011,1010,843-72363359,PMC 742,Z27119,ADL,YIA,287,287,17566.7,17566.7,GTR8416,Alpha,MACH,,,,,,,,,,,,
14-Jun-25,1223,1257,1351,807-95318289,PMC 411 / PMC 519 / GTR DT 557 / KUL 810,QZ2366,SGN,VTE,130,130,5200.8,5200.8,GTR8417,Echo,COU,,,,,,,,,,,,
14-Jun-25,1302,1341,1424,180-69533928,GTR DT 108,AK1635,DMK,HKG,165,165,3197.1,3197.1,GTR8417,Delta,MED,,,,,,,,,,,,
14-Jun-25,1505,1548,1632,126-99508850,BT 305,PX871,RGN,MNL,207,207,10026.4,10026.4,GTR8415,Delta,MAL,,,,,,,,,,,,
14-Jun-25,1505,1551,1627,180-55799273,GTR DT 887,PX871,KUL,MDL,422,422,13135.0,13135.0,GTR8415,Beta,FURN,,,,,,,,,,,,
14-Jun-25,1505,1548,1656,695-67740376,PMC 648 / GTR DT 170 / PMC 143,PX871,HKG,ICN,437,437,27357.3,27357.3,GTR8416,Beta,MAL,,,,,,,,,,,,
14-Jun-25,2315,2348,0025,126-93568503,GTR DT 509 / KUL 392 / GTR DT 177 / I TG 220,QZ7673,MLG,SYD,227,227,7166.1,7166.1,GTR8416,Gamma,XPS,,,,,,,,,,,,
14-Jun-25,2315,0002,0043,180-51395350,KUL 629 / PMC 632,QZ7673,DPS,KCH,203,203,5826.3,5826.3,GTR8416,Gamma,MAL,,,,,,,,,,,,
14-Jun-25,2315,0016,0041,695-46578001,KUL 90 / I TG 393 / BT 430 / BT 659,QZ7673,BOM,MFM,468,468,24098.3,24098.3,GTR8419,Beta,ELEC,,,,,,,,,,,,
14-Jun-25,2315,0025,0106,807-63118906,GTR DT 801,QZ7673,PVG,BWN,114,114,1714.0,1714.0,GTR8417,Delta,CLTH,,,,,,,,,,,,
15-Jun-25,0301,0410,0448,180-83300637,PMC 345 / PMC 849 / PMC 546,XT4606,AMD,PEN,250,250,4290.2,4290.2,GTR8418,Echo,GC,,,,,,,,,,,,
15-Jun-25,0301,0350,0431,229-65804273,I TG 340,XT4606,BKK,PEN,427,427,18959.0,18959.0,GTR8415,Delta,GC,,,,,,,,,,,,
15-Jun-25,0301,0408,0420,807-59555330,PMC 486,XT4606,TWU,SBW,76,76,1041.0,1041.0,GTR8417,Echo,FURN,,,,,,,,,,,,
15-Jun-25,0301,0407,0415,843-77898694,PMC 492,XT4606,BKI,ICN,478,478,5969.9,5969.9,GTR8416,Echo,TEX,,,,,,,,,,,,
15-Jun-25,0749,0823,0947,126-22120246,KUL 849,D71407,HAN,KUL,136,136,4685.9,4685.9,GTR8419,Echo,MED,,,,,,,,,,,,
15-Jun-25,0749,0831,0925,807-79244185,BT 336 / PMC 453,D71407,TPE,PVG,43,43,1538.0,1538.0,GTR8415,Beta,CLTH,,,,,,,,,,,,
15-Jun-25,0749,0904,0926,807-79340535,KUL 921 / PMC 457 / KUL 465 / BT 526,D71407,CCU,SIN,124,124,5718.1,5718.1,GTR8418,Delta,TEX,,,,,,,,,,,,
15-Jun-25,0749,0855,0852,807-88714010,I TG 741 / KUL 406 / I TG 837 / KUL 764,D71407,SBW,SDK,169,169,6630.8,6630.8,GTR8416,Echo,CHEM,,,,,,,,,,,,
15-Jun-25,0925,1005,1033,229-41348220,BT 939 / PMC 658 / KUL 537 / KUL 860,XT6218,RGN,DPS,163,163,9779.2,9779.2,GTR8415,Alpha,FOOD,,,,,,,,,,,,
15-Jun-25,0925,1043,1025,229-95918360,BT 863 / BT 70 / BT 10 / BT 518,XT6218,RGN,CAN,59,59,2671.2,2671.2,GTR8418,Gamma,PIL,,,,,,,,,,,,
15-Jun-25,0925,0958,1104,695-18083974,GTR DT 17 / KUL 545 / PMC 422 / KUL 18,XT6218,MEL,HKG,486,486,27486.9,27486.9,GTR8419,Gamma,MED,,,,,,,,,,,,
15-Jun-25,0925,1029,1043,843-67594492,PMC 833,XT6218,SBW,PER,315,315,14876.9,14876.9,GTR8418,Beta,MED,,,,,,,,,,,,
15-Jun-25,1321,1449,1426,180-82772208,BT 357,D72647,BKK,CEB,30,30,264.5,264.5,GTR8417,Gamma,CLTH,,,,,,,,,,,,
15-Jun-25,1321,1420,1511,229-95704631,PMC 495 / I TG 488,D72647,VTE,HKG,346,346,2886.9,2886.9,GTR8415,Delta,AUTO,,,,,,,,,,,,
15-Jun-25,1321,1437,1505,807-57236885,I TG 69 / I TG 46 / KUL 24 / I TG 664,D72647,SOC,DMK,159,159,2280.6,2280.6,GTR8415,Beta,FURN,,,,,,,,,,,,
15-Jun-25,1748,1910,1855,126-13471527,BT 490 / KUL 235 / GTR DT 92 / KUL 106,D75673,SIN,KCH,493,493,31203.0,31203.0,GTR8417,Gamma,GC,,,,,,,,,,,,
15-Jun-25,1748,1914,1907,126-23492385,GTR DT 793 / BT 657,D75673,CCU,PVG,117,117,2369.2,2369.2,GTR8416,Alpha,XPS,,,,,,,,,,,,
15-Jun-25,1748,1823,1945,695-12205915,BT 771,D75673,PER,SOC,295,295,3352.7,3352.7,GTR8415,Echo,CHEM,,,,,,,,,,,,
15-Jun-25,1748,1904,1912,807-47215199,GTR DT 323 / BT 254 / I TG 661,D75673,NRT,ICN,277,277,3435.0,3435.0,GTR8415,Beta,GC,,,,,,,,,,,,
